Ticker,Date,StockPrice,NetEPS,PE
ICE,2024-01-01,144.5775,,33.332499999999996
ICE,2025-01-01,181.20000000000002,,45.080000000000005
CB,2010-01-01,41.1275,,4.7475000000000005
CB,2011-01-01,48.9525,,8.2075
CB,2012-01-01,58.207499999999996,,8.295
CB,2013-01-01,73.82,,7.7575
CB,2014-01-01,85.24000000000001,,9.0
CB,2015-01-01,89.7175,,10.56
CB,2016-01-01,107.5425,,14.525
CB,2017-01-01,123.3175,,13.2275
CB,2018-01-01,116.2575,,13.1725
CB,2019-01-01,136.345,,16.0625
CB,2020-01-01,117.49000000000001,,19.2725
CB,2021-01-01,161.1525,,9.532499999999999
CB,2022-01-01,194.7375,,12.84
CB,2023-01-01,200.0575,,12.6775
CB,2024-01-01,266.6925,,11.43
CB,2025-01-01,286.67,,13.046666666666667
MO,2010-01-01,9.0175,,5.1675
MO,2011-01-01,11.685,,6.8425
MO,2012-01-01,14.745000000000001,,7.897500000000001
MO,2013-01-01,16.9525,,7.425
MO,2014-01-01,21.8925,,9.635
MO,2015-01-01,27.66,,10.5775
MO,2016-01-01,35.625,,10.765
MO,2017-01-01,39.455,,5.7475000000000005
MO,2018-01-01,33.5925,,6.6925
MO,2019-01-01,30.5225,,11.71
MO,2020-01-01,26.7975,,21.435
MO,2021-01-01,35.1,,19.8325
MO,2022-01-01,35.5325,,20.5625
MO,2023-01-01,37.005,,9.3325
MO,2024-01-01,45.197500000000005,,7.87
MO,2025-01-01,60.39333333333334,,14.123333333333333
CRWD,2020-01-01,101.56666666666666,,0.0
CRWD,2021-01-01,239.93,,0.0
CRWD,2022-01-01,181.04999999999998,,0.0
CRWD,2023-01-01,141.095,,0.0
CRWD,2024-01-01,278.4675,,570.6825
CRWD,2025-01-01,417.53999999999996,,0.0
CEG,2022-01-01,84.31,,0.0
CEG,2023-01-01,97.6675,,20.427500000000002
CEG,2024-01-01,216.0125,,24.5625
CEG,2025-01-01,268.885,,28.335
SO,2010-01-01,18.5125,,7.4799999999999995
SO,2011-01-01,22.89,,9.43
SO,2012-01-01,25.735,,10.0825
SO,2013-01-01,25.85,,12.93
SO,2014-01-01,28.509999999999998,,12.42
SO,2015-01-01,29.1425,,11.685
SO,2016-01-01,35.332499999999996,,13.58
SO,2017-01-01,35.0325,,42.2225
SO,2018-01-01,33.74,,18.415
SO,2019-01-01,46.16,,11.26
SO,2020-01-01,45.885,,14.885
SO,2021-01-01,54.665,,19.9
SO,2022-01-01,63.5775,,22.8525
SO,2023-01-01,64.155,,20.997500000000002
SO,2024-01-01,78.1725,,19.0675
SO,2025-01-01,92.78666666666668,,27.38
BBVA,2010-01-01,5.135,,3.595
BBVA,2011-01-01,4.7375,,3.81
BBVA,2012-01-01,4.03,,8.0875
BBVA,2013-01-01,5.435,,8.7125
BBVA,2014-01-01,6.4375,,27.53
BBVA,2015-01-01,5.1625,,9.3125
BBVA,2016-01-01,3.85,,10.557500000000001
BBVA,2017-01-01,5.58,,8.850000000000001
BBVA,2018-01-01,4.68,,6.89
BBVA,2019-01-01,3.87,,5.6625
BBVA,2020-01-01,2.6550000000000002,,32.985
BBVA,2021-01-01,4.6025,,6.175
BBVA,2022-01-01,4.2075,,4.27
BBVA,2023-01-01,7.0,,5.605
BBVA,2024-01-01,9.8775,,6.005
BBVA,2025-01-01,15.615,,8.265
SBUX,2010-01-01,10.84,,18.575
SBUX,2011-01-01,16.295,,20.89
SBUX,2012-01-01,21.785,,24.2975
SBUX,2013-01-01,28.3425,,25.905
SBUX,2014-01-01,31.447499999999998,,23.005
SBUX,2015-01-01,44.6575,,25.8575
SBUX,2016-01-01,47.037499999999994,,25.79
SBUX,2017-01-01,48.1475,,22.145
SBUX,2018-01-01,49.24,,17.427500000000002
SBUX,2019-01-01,73.745,,26.619999999999997
SBUX,2020-01-01,74.7475,,88.495
SBUX,2021-01-01,102.60249999999999,,54.6475
SBUX,2022-01-01,81.975,,25.8075
SBUX,2023-01-01,93.1925,,27.4775
SBUX,2024-01-01,87.5675,,25.91
SBUX,2025-01-01,93.35000000000001,,45.03333333333333
RIO,2010-01-01,23.18,0.0,2.8
RIO,2011-01-01,24.775,0.0,0.0
RIO,2012-01-01,22.275,0.0,0.0
RIO,2013-01-01,21.235,0.0,0.0
RIO,2014-01-01,22.61,0.0,0.0
RIO,2015-01-01,16.58,0.0,0.0
RIO,2016-01-01,19.42,0.0,0.0
RIO,2017-01-01,25.045,0.0,0.0
RIO,2018-01-01,28.9,0.0,0.0
RIO,2019-01-01,37.68,0.0,0.0
RIO,2020-01-01,44.22,0.0,0.0
RIO,2021-01-01,55.32,0.0,0.0
RIO,2022-01-01,54.92,0.0,0.0
RIO,2023-01-01,61.46000000000001,0.0,0.0
RIO,2024-01-01,59.28,0.0,0.0
RIO,2025-01-01,59.55,0.0,0.0
ENB,2010-01-01,12.067499999999999,,8.845
ENB,2011-01-01,16.27,,11.745
ENB,2012-01-01,20.365000000000002,,22.5325
ENB,2013-01-01,22.6175,,30.6025
ENB,2014-01-01,25.705,,23.8525
ENB,2015-01-01,22.7725,,51.0775
ENB,2016-01-01,24.0375,,18.905
ENB,2017-01-01,24.315,,21.1375
ENB,2018-01-01,20.665,,18.9875
ENB,2019-01-01,24.7925,,13.3275
ENB,2020-01-01,21.705,,27.34
ENB,2021-01-01,30.035,,13.145
ENB,2022-01-01,33.8475,,20.4025
ENB,2023-01-01,31.7775,,25.48
ENB,2024-01-01,36.7125,,19.07
ENB,2025-01-01,45.36,,23.384999999999998
CME,2010-01-01,31.994999999999997,,11.545
CME,2011-01-01,29.9125,,7.68
CME,2012-01-01,31.7325,,4.335
CME,2013-01-01,44.379999999999995,,15.8225
